Position (mm),Force (N),Strain (%),Time (min)
"3,72",17300,"1,10","3,72"
"3,72",17300,"1,10","3,72"
"3,73",17300,"1,10","3,73"
"3,73",17300,"1,10","3,73"
"3,73",17300,"1,10","3,74"
"3,74",17300,"1,10","3,74"
"3,74",17300,"1,10","3,75"
"3,75",17300,"1,10","3,75"
"3,75",17300,"1,10","3,75"
"3,76",17300,"1,10","3,76"
"3,76",17300,"1,10","3,76"
"3,76",17300,"1,10","3,77"
"3,77",17300,"1,10","3,77"
"3,77",17300,"1,10","3,78"
"3,78",17300,"1,10","3,78"
"3,78",17300,"1,10","3,79"
"3,79",17300,"1,10","3,79"
"3,79",17300,"1,10","3,79"
"3,80",17300,"1,10","3,80"
"3,80",17300,"1,10","3,80"
"3,80",17300,"1,10","3,81"
"3,81",17300,"1,10","3,81"
"3,81",17300,"1,10","3,82"
"3,82",17300,"1,10","3,82"
"3,82",17300,"1,10","3,83"
"3,83",17300,"1,10","3,83"
"3,83",17300,"1,10","3,83"
"3,84",17300,"1,10","3,84"
"3,84",17300,"1,10","3,84"
"3,84",17300,"1,10","3,85"
"3,85",17300,"1,10","3,85"
"3,85",17300,"1,10","3,86"
"3,86",17300,"1,10","3,86"
"3,86",17300,"1,10","3,86"
"3,87",17300,"1,10","3,87"
"3,87",17300,"1,10","3,87"
"3,88",17300,"1,10","3,88"
"3,88",17300,"1,10","3,88"
"3,88",17300,"1,10","3,89"
"3,89",17300,"1,10","3,89"
"3,89",17300,"1,10","3,90"
"3,90",17300,"1,10","3,90"
"3,90",17400,"1,10","3,90"
"3,91",17400,"1,10","3,91"
"3,91",17400,"1,10","3,91"
"3,91",17400,"1,10","3,92"
"3,92",17400,"1,10","3,92"
"3,92",17400,"1,10","3,93"
"3,93",17400,"1,10","3,93"
"3,93",17400,"1,10","3,94"
"3,94",17400,"1,10","3,94"
"3,94",17400,"1,10","3,94"
"3,95",17400,"1,10","3,95"
"3,95",17400,"1,10","3,95"
"3,95",17400,"1,10","3,96"
"3,96",17400,"1,10","3,96"
"3,96",17400,"1,10","3,97"
"3,97",17400,"1,10","3,97"
"3,97",17400,"1,10","3,97"
"3,98",17400,"1,10","3,98"
"3,98",17400,"1,10","3,98"
"3,98",17400,"1,10","3,99"
"3,99",17400,"1,10","3,99"
"3,99",17400,"1,10","4,00"
"4,00",17400,"1,10","4,00"
"4,00",17400,"1,10","4,01"
"4,01",17400,"1,10","4,01"
"4,01",17400,"1,10","4,01"
"4,02",17400,"1,10","4,02"
"4,02",17400,"1,10","4,02"
"4,02",17400,"1,10","4,03"
"4,03",17400,"1,10","4,03"
"4,03",17400,"1,10","4,04"
"4,04",17400,"1,10","4,04"
"4,04",17400,"1,10","4,05"
"4,05",17400,"1,10","4,05"
"4,05",17400,"1,10","4,05"
"4,06",17400,"1,10","4,06"
"4,06",17400,"1,10","4,06"
"4,07",17400,"1,10","4,07"
"4,07",17400,"1,10","4,07"
"4,13",17800,"1,10","4,08"
"4,22",17700,"1,10","4,08"
"4,30",17700,"1,10","4,08"
"4,39",17700,"1,10","4,09"
"4,47",17800,"1,10","4,09"
"4,56",17800,"1,10","4,10"
"4,65",17800,"1,10","4,10"
"4,73",17900,"1,10","4,11"
"4,82",17900,"1,10","4,11"
"4,91",17900,"1,10","4,11"
"4,99",18000,"1,10","4,12"
"5,08",18000,"1,10","4,12"
"5,17",18000,"1,10","4,13"
"5,25",18100,"1,10","4,13"
"5,34",18100,"1,10","4,14"
"5,42",18100,"1,10","4,14"
"5,51",18200,"1,10","4,14"
"5,60",18200,"1,10","4,15"
"5,68",18200,"1,10","4,15"
"5,77",18200,"1,10","4,16"
"5,86",18300,"1,10","4,16"
"5,94",18300,"1,10","4,17"
"6,03",18300,"1,10","4,17"
"6,12",18300,"1,10","4,18"
"6,20",18300,"1,10","4,18"
"6,29",18300,"1,10","4,18"
"6,38",18400,"1,10","4,19"
"6,46",18400,"1,10","4,19"
"6,55",18400,"1,10","4,20"
"6,63",18400,"1,10","4,20"
"6,72",18400,"1,10","4,21"
"6,81",18400,"1,10","4,21"
"6,89",18400,"1,10","4,21"
"6,98",18400,"1,10","4,22"
"7,07",18400,"1,10","4,22"
"7,15",18400,"1,10","4,23"
"7,24",18400,"1,10","4,23"
"7,33",18300,"1,10","4,24"
"7,41",18300,"1,10","4,24"
"7,50",18300,"1,10","4,24"
"7,58",18200,"1,10","4,25"
"7,67",18100,"1,10","4,25"
"7,76",18100,"1,10","4,26"
"7,84",18000,"1,10","4,26"
"7,93",17900,"1,10","4,27"
"8,02",17800,"1,10","4,27"
"8,10",17700,"1,10","4,27"
"8,19",17500,"1,10","4,28"
"8,28",17400,"1,10","4,28"
"8,36",17300,"1,10","4,29"
"8,45",17100,"1,10","4,29"
"8,53",17000,"1,10","4,30"
"8,62",16800,"1,10","4,30"
"8,71",16700,"1,10","4,30"
"8,79",16500,"1,10","4,31"
"8,88",16400,"1,10","4,31"
"8,97",16200,"1,10","4,32"
"9,05",16000,"1,10","4,32"
"9,14",15800,"1,10","4,33"
"9,23",15600,"1,10","4,33"
"9,31",15400,"1,10","4,33"
"9,40",15200,"1,10","4,34"
"9,49",15000,"1,10","4,34"
"9,57",14800,"1,10","4,35"
"9,66",14600,"1,10","4,35"
"9,74",14300,"1,10","4,36"
"9,93",1730,"1,10","4,37"
